,Aircraft Model,Empty Weight (kg),Maximum Takeoff Weight (kg),Maximum Landing Weight (kg),Center of Gravity Limits,Wing Loading (kg/m²),Tail Loading (kg/m²),Fuel Capacity (liters),Number of Passengers,Cargo Capacity (kg),Maximum Altitude (ft),Maximum Speed (knots),Engine Type,Fuselage Length (m)
19,Bombardier Global 6000,237882.2317,751677.5495,474805.5933,35%-45% of MAC,718.3040825,159.8171347,404029.0323,283,59552.28699,25559,640,Turbofan,29.56106795
20,Gulfstream G650,109274.9631,237477.8876,215546.0075,25%-35% of MAC,273.0484039,160.5789087,318936.0545,378,77962.7311,57522,526,Piston,65.63540048
21,Airbus A320,222657.306,297536.9599,225127.1757,20%-40% of MAC,579.1929051,185.6099825,477412.1191,211,20923.77075,22653,460,Turbofan,40.22345043
22,Cessna 172,142428.6483,190057.3546,145044.1942,20%-40% of MAC,338.0404922,68.69379988,6975.723108,231,44395.50779,22334,422,Turbofan,80.68917437
23,Boeing 737-800,67170.52993,307906.6815,95354.69148,35%-45% of MAC,961.9864518,115.1178423,360500.314,324,19220.08285,43164,659,Turbofan,86.2399578
24,Airbus A380,273322.5535,372857.1668,350871.2052,25%-35% of MAC,890.7613274,178.3540742,460568.4515,223,73035.13978,27608,561,Turbofan,85.02006333
25,Cessna 172,87848.11526,178545.4998,168625.0711,15%-30% of MAC,545.2710423,133.9632984,224988.4436,319,98955.9699,38127,621,Turbofan,22.09680673
26,Boeing 777,12679.9169,63225.42867,47313.08583,20%-40% of MAC,915.0042186,69.15672281,434425.0237,202,87633.61595,27688,575,Turboprop,31.13712332
27,Airbus A380,167678.519,614771.3865,526098.3449,25%-35% of MAC,369.1923988,83.5484293,258539.2536,313,60663.10321,56155,416,Piston,79.40735188
28,Bombardier Global 6000,158763.8382,687157.7833,354354.8697,15%-30% of MAC,419.2487061,44.81497867,297241.9379,444,68819.82785,42417,545,Turbofan,48.67729781
29,Cessna 172,34127.81646,89446.24263,88402.30913,20%-35% of MAC,471.8257326,74.97465213,474463.5902,404,94283.5451,48418,555,Turbofan,28.8638986
30,Cessna 172,132178.0664,301610.7963,273572.2547,15%-30% of MAC,763.399164,71.72036623,490232.9966,427,39090.10263,25565,572,Turboprop,81.02400584
31,Embraer E190,84254.68683,313250.6674,163251.5608,35%-45% of MAC,207.757852,118.4572089,369066.8075,59,9633.298242,43114,615,Piston,87.01863276
32,Gulfstream G650,294682.0297,1224676.777,1107832.744,35%-45% of MAC,683.0415493,123.0719758,104330.5374,256,53508.12774,56608,430,Piston,13.64628414
33,Bombardier Global 6000,71263.01195,138272.3656,111325.3948,25%-35% of MAC,300.0414324,173.0207451,354422.0729,421,52027.54765,42795,521,Turbofan,91.76040281
34,Cessna 172,294846.242,1153376.861,845584.5859,25%-35% of MAC,572.8179804,35.08274551,396833.3209,250,21315.12737,26007,466,Turbofan,85.38853818
35,Airbus A320,114245.9131,564646.8685,436494.5844,20%-35% of MAC,749.6981305,63.2589278,83946.61546,384,69566.0758,52581,641,Piston,82.89496958
36,Cessna 172,290981.7944,632268.0484,294267.0949,25%-35% of MAC,251.7894332,83.82212448,294799.5282,206,34185.15915,45733,407,Piston,56.52097708
37,Boeing 777,194926.8215,370878.1751,337766.3302,20%-35% of MAC,313.7163751,20.37429212,308040.1764,392,97808.47765,48134,439,Piston,86.63742667
38,Boeing 737-800,42475.21116,95713.61811,65201.42032,25%-35% of MAC,673.8389079,144.9276281,188421.1397,344,85094.1188,21328,596,Piston,92.02256807
39,Embraer E190,193639.9522,450637.1102,310018.9662,20%-40% of MAC,959.197949,180.5279451,174702.3238,146,4580.791169,22751,527,Turboprop,63.76575089
40,Gulfstream G650,228766.4736,375029.7106,237158.7992,20%-40% of MAC,232.5817427,170.8546286,296245.5125,324,60143.84133,25160,637,Piston,61.57677435
41,Airbus A380,203006.2941,555916.0561,217108.1024,15%-30% of MAC,988.1798037,41.38980682,419956.5998,297,42140.34714,32896,548,Turboprop,41.27606952
42,Embraer E190,240721.4586,593982.128,538896.4923,20%-35% of MAC,947.4825031,44.12419938,375321.7099,418,2419.987116,31007,408,Turbofan,82.0529759
43,Beechcraft King Air 350,117351.8221,205528.3561,203614.4481,15%-30% of MAC,693.6607281,185.6318172,170520.5038,112,71741.33672,21024,403,Turbofan,49.31545539
44,Boeing 777,207248.521,333173.1395,209150.6638,15%-30% of MAC,989.8081964,72.85659356,133483.2256,358,2646.943616,46445,580,Turbofan,40.3835249
45,Airbus A380,70860.64666,331843.392,319814.8246,35%-45% of MAC,415.1726401,99.08870594,331313.5908,69,5153.200099,36492,418,Piston,99.12397557
46,Beechcraft King Air 350,113575.6022,254888.31,229929.2739,35%-45% of MAC,422.804761,56.40829694,240145.2768,354,21410.75989,49893,600,Piston,74.51457092
47,Gulfstream G650,207145.7444,226415.1258,211649.9945,20%-40% of MAC,235.3882721,130.3009057,208538.8821,483,44333.924,20458,513,Piston,34.71847236
48,Boeing 737-800,141931.7051,259812.088,231293.5655,35%-45% of MAC,616.8451057,31.15442289,76055.58627,319,98542.02616,22459,408,Turbofan,99.72156522
49,Gulfstream G650,291871.5479,455294.4666,395352.569,20%-35% of MAC,370.3802484,51.99059033,232283.505,418,40524.33486,54709,400,Turboprop,98.47486508
50,Boeing 777,90990.69615,219482.6631,105354.4014,35%-45% of MAC,928.287997,190.9765008,424020.084,187,17905.68293,22823,500,Turboprop,92.78923107
51,Airbus A380,287111.0811,413096.2653,379417.2283,15%-30% of MAC,942.0304944,138.28201,195199.1459,343,71975.01896,26383,442,Turbofan,15.72451533
52,Airbus A380,114367.4957,517542.3764,482934.6138,35%-45% of MAC,371.7307219,22.22555853,463358.7665,349,24593.82602,34592,420,Turboprop,81.75871067
53,Boeing 737-800,243914.2467,571257.1918,246624.3984,20%-35% of MAC,285.3174941,149.1209561,120501.0439,342,55157.80128,51113,534,Piston,18.57078529
54,Gulfstream G650,86405.60246,267283.3768,233437.9783,25%-35% of MAC,981.3406897,80.12593904,454389.806,451,38722.61344,52270,414,Turbofan,13.8651835
55,Boeing 737-800,8457.299852,31679.47252,20284.31977,15%-30% of MAC,739.2984892,102.9495663,480425.0941,458,90786.93645,33938,621,Turbofan,58.95589274
56,Embraer E190,75218.65118,238473.7651,173297.0261,15%-30% of MAC,917.1731842,85.0487591,253804.2878,101,10787.94597,25967,416,Turboprop,11.98913111
57,Airbus A380,198907.751,294007.6733,234637.6973,25%-35% of MAC,336.116519,21.585813,320688.8174,80,84721.81853,32213,581,Turboprop,89.71850754
58,Beechcraft King Air 350,127128.1535,188362.9244,171919.5367,25%-35% of MAC,264.256921,97.03801703,13544.97256,252,40197.82554,26052,620,Turbofan,54.74507258
59,Cessna 172,226516.8874,296946.1747,250320.7697,20%-40% of MAC,517.7897776,119.6450227,378503.2716,400,4252.725559,51839,697,Turbofan,37.03297239
60,Bombardier Global 6000,29756.39082,65537.65564,58866.49719,20%-35% of MAC,499.4901758,68.44587855,153534.6678,283,66660.46239,43901,525,Turbofan,12.31142232
61,Embraer E190,202962.8707,704528.6483,550855.403,15%-30% of MAC,828.6648243,88.34111152,103747.7614,365,16180.14942,24754,424,Turbofan,64.2197652
62,Boeing 747-8,89917.16667,377670.5195,348572.3964,25%-35% of MAC,548.6877412,193.5959791,298328.3941,97,28100.26624,35790,540,Piston,78.24071304
63,Boeing 747-8,218129.2185,745591.7552,542275.3746,35%-45% of MAC,684.0364552,67.85509681,474818.2255,404,30692.9384,25475,557,Turboprop,80.46269406
64,Cessna 172,144791.117,549692.4086,405622.9279,20%-40% of MAC,570.2269518,148.6695797,427989.9099,393,71798.5684,23754,624,Piston,26.80642067
65,Bombardier Global 6000,160161.9879,416163.9854,344162.5121,25%-35% of MAC,501.8048725,67.34912031,433979.9127,213,98915.60384,57066,556,Piston,39.98864926
66,Boeing 737-800,203998.1205,1011519.672,776458.5563,25%-35% of MAC,936.0561,180.2699008,36655.65613,412,4960.957319,40434,525,Turboprop,16.79399159
67,Gulfstream G650,117098.9597,262696.6889,183045.1814,25%-35% of MAC,886.1163321,169.3933195,69727.18669,101,11754.78995,23551,469,Piston,28.81258494
68,Boeing 747-8,144729.0457,623631.1783,601055.6642,35%-45% of MAC,436.0420871,93.48845231,265012.462,429,27775.77734,23959,448,Piston,83.3160526
69,Embraer E190,38967.76733,46573.72549,42451.42544,15%-30% of MAC,258.1050284,45.72284732,446524.8294,102,54586.92274,41978,491,Piston,69.40910668
70,Beechcraft King Air 350,26256.10422,98264.01547,92621.69047,35%-45% of MAC,201.5555806,146.1183833,355333.6996,311,81836.77909,36490,517,Turbofan,91.25495364
71,Beechcraft King Air 350,241933.0112,655106.5402,373447.016,35%-45% of MAC,339.116317,154.2709996,113795.5223,349,65984.68034,38294,490,Turbofan,64.50537607
72,Bombardier Global 6000,263596.6904,416009.1976,401638.0452,20%-40% of MAC,556.2576373,176.0405171,83304.25652,169,37157.41849,21950,455,Piston,65.75650597
73,Boeing 737-800,66526.598,285476.1079,237030.2478,35%-45% of MAC,617.3917482,56.36425716,369649.4891,418,82992.90701,43093,619,Turbofan,35.3274956
74,Boeing 777,167576.4773,790438.492,394773.8881,25%-35% of MAC,365.2113806,94.84338969,83540.58634,148,36922.04038,36046,472,Piston,37.3465386
75,Boeing 777,8829.476752,22882.95295,10408.17244,20%-40% of MAC,544.603398,91.62492997,126420.8816,234,8068.208255,38911,532,Turbofan,95.62452331
76,Boeing 737-800,89074.75265,245931.363,93482.41048,35%-45% of MAC,478.7080692,106.2267665,279650.1108,244,74287.28793,27334,438,Turbofan,80.69697497
77,Bombardier Global 6000,280421.5964,894871.1969,309503.918,15%-30% of MAC,983.6946813,90.18599323,69509.85231,105,5219.20283,43399,538,Piston,10.17064182
78,Airbus A320,192489.452,348752.3654,218359.0282,20%-40% of MAC,918.8771615,173.7742128,388039.6396,345,82798.14167,58302,435,Turboprop,23.16228594
79,Gulfstream G650,196715.4221,762339.3205,724220.0753,20%-40% of MAC,877.2405755,177.3005225,323007.9965,411,38335.94718,52396,540,Piston,88.40627752
80,Boeing 747-8,107793.6757,173033.8057,164211.4798,20%-40% of MAC,999.6191594,42.5909324,166615.3118,329,94041.88991,54162,427,Piston,45.76720402
81,Airbus A320,121403.7015,269839.2128,188714.547,25%-35% of MAC,421.0488416,24.05745739,346616.9749,390,75259.93977,20215,653,Turboprop,10.6758554
82,Embraer E190,145398.638,396985.3077,239717.4949,20%-35% of MAC,672.3290873,26.49479665,446970.6349,277,82927.06992,57552,573,Turboprop,67.18896094
83,Embraer E190,172498.924,314479.4241,181108.5259,20%-40% of MAC,673.1406713,97.01423388,331505.1142,280,34853.41344,22651,489,Piston,15.68284375
84,Cessna 172,231238.6803,914935.4227,890330.0869,20%-40% of MAC,603.781795,76.05528875,486811.4304,240,83732.88442,20653,599,Turboprop,89.65896329
85,Cessna 172,154564.9797,400481.0234,345191.9941,20%-40% of MAC,967.068104,93.76703956,282549.2828,97,78849.45291,25218,447,Turboprop,39.74485197
86,Gulfstream G650,221629.65,474218.1515,420547.1698,20%-40% of MAC,804.0080666,139.227482,407302.6194,401,74229.76183,36934,690,Piston,84.41403053
87,Bombardier Global 6000,4952.366206,12867.33029,11569.02621,15%-30% of MAC,263.8089825,156.1631805,373370.5499,131,22227.28811,58399,457,Piston,49.26501999
88,Cessna 172,158555.4609,220969.0466,173973.3361,20%-40% of MAC,210.9246705,127.2810531,374318.7381,195,38525.68822,29838,660,Turbofan,82.39207744
89,Gulfstream G650,293576.7479,1425658.947,886626.6535,20%-35% of MAC,475.2079894,38.03164991,220058.9573,393,52387.59975,23939,534,Piston,45.73310359
90,Airbus A380,133843.7832,387297.6641,343106.3652,20%-35% of MAC,267.3911292,188.9885514,379712.7082,201,58202.17319,43805,609,Turboprop,16.01865063
91,Embraer E190,38071.22253,142237.1981,110292.3897,20%-40% of MAC,273.3177322,196.3233926,252759.5413,341,49239.3377,34758,558,Piston,68.31306323
92,Boeing 777,200987.0866,612520.7713,207230.3442,15%-30% of MAC,302.0670268,188.3855215,391616.1457,231,30737.7098,53127,648,Turbofan,90.00129896
93,Beechcraft King Air 350,266282.4252,458421.2272,455729.8172,20%-40% of MAC,809.4050431,110.2495242,305579.0063,265,18118.4257,54282,608,Turboprop,94.26558964
94,Embraer E190,234560.0328,875190.4997,267103.0738,25%-35% of MAC,506.8018808,109.6326806,456705.9042,332,60091.43962,38834,579,Turboprop,89.37453935
95,Embraer E190,29949.73918,79925.87129,77412.12024,20%-35% of MAC,362.9761271,139.8165679,108879.1247,456,65207.70596,38926,406,Turbofan,65.06493727
96,Embraer E190,233727.6455,706975.627,422129.4692,15%-30% of MAC,801.9012386,41.83246896,17123.8614,160,75404.30164,52403,492,Turbofan,29.87985172
97,Boeing 747-8,203641.9189,648742.3291,358599.7539,15%-30% of MAC,703.438484,197.5274846,158759.5153,430,5527.298144,22497,593,Turboprop,81.9898862
98,Boeing 737-800,71971.4394,255439.7965,200295.8556,20%-35% of MAC,372.7948188,134.040787,258826.1974,432,13971.38286,28347,541,Turbofan,59.03191627
99,Airbus A380,180065.189,575545.6698,417448.3984,20%-35% of MAC,811.2343182,129.948518,373299.661,376,43083.86431,24330,591,Turboprop,30.67877583
100,Cessna 172,193614.5533,780067.2044,380885.0976,20%-40% of MAC,663.648661,78.84083785,31073.70463,210,96114.67773,40065,492,Turboprop,30.96197117
101,Boeing 747-8,22224.0304,62584.49371,57071.91413,20%-40% of MAC,914.1882326,61.03102243,195968.6452,331,78950.998,44880,669,Piston,75.33232568
102,Boeing 737-800,174221.8526,774741.0286,404286.312,20%-40% of MAC,266.4141056,84.43500366,432248.6816,175,4185.642393,38898,666,Piston,50.81499971
103,Gulfstream G650,13862.29225,41847.30278,37356.68777,20%-35% of MAC,495.3138125,185.8979353,189656.4362,476,79922.37231,39571,532,Turbofan,72.96085662
104,Airbus A380,212557.7434,939727.1797,415319.2378,35%-45% of MAC,997.899833,93.69959782,310503.5469,442,78434.44433,20903,683,Piston,29.51711568
105,Airbus A380,250913.6577,610255.2726,349122.9931,20%-40% of MAC,535.3569756,62.89381925,228425.367,193,13859.43348,49424,612,Turboprop,21.75543805
106,Airbus A380,270999.9753,797724.853,444169.0929,20%-40% of MAC,889.6142968,124.0540334,414842.144,50,20372.22635,45921,426,Turbofan,88.65444546
107,Boeing 747-8,171582.312,384823.7128,321310.2681,35%-45% of MAC,583.1639045,60.14498558,299078.2222,109,70846.63178,31028,458,Turbofan,42.49137086
108,Airbus A320,206966.9375,366401.803,314127.9509,15%-30% of MAC,523.6114931,53.07864004,126877.3759,165,59783.65686,55509,491,Turbofan,23.035079
109,Bombardier Global 6000,106794.635,507530.2088,239356.8263,20%-35% of MAC,674.2828785,144.4970602,454041.0447,437,65508.39807,23006,506,Turbofan,40.73760774
110,Gulfstream G650,205254.7601,638899.892,549925.3485,35%-45% of MAC,807.3796364,165.7566763,284910.2889,64,82560.06063,52270,436,Turboprop,84.64125752
111,Boeing 737-800,90766.44114,330048.1399,220649.3768,15%-30% of MAC,797.8148681,142.097175,147707.7654,110,7983.019881,36264,662,Turbofan,26.42279124
112,Airbus A380,212802.6262,1020791.042,657942.8893,20%-35% of MAC,478.2438769,106.3197186,198627.711,96,11346.70082,53013,454,Piston,28.16798277
113,Boeing 747-8,171908.3527,312348.7495,196332.4898,20%-35% of MAC,984.9358311,135.7218022,481180.0758,320,6306.878206,57310,634,Turboprop,86.33324645
114,Gulfstream G650,44165.84356,135395.8163,82424.54986,25%-35% of MAC,958.7120221,159.8098962,279557.8692,302,51932.31595,46722,611,Turbofan,52.25251237
115,Boeing 737-800,271539.6938,525409.3108,516515.2143,35%-45% of MAC,958.7103391,142.0794764,120880.3832,228,89339.6857,56390,613,Piston,93.16510521
116,Boeing 747-8,24259.64169,54638.04579,35510.63379,20%-40% of MAC,851.0997433,37.94639204,459447.0178,138,15664.56422,44745,530,Piston,19.0507645
117,Gulfstream G650,139422.4394,508772.65,500415.1472,35%-45% of MAC,983.7649087,47.56463593,14916.87927,228,30110.8082,30910,675,Turboprop,75.70692657
118,Boeing 777,16277.90237,25984.51706,22495.71646,20%-40% of MAC,917.1240846,68.38877659,400923.3249,200,95177.73588,37843,534,Turbofan,66.80759958
119,Boeing 747-8,141538.7525,356152.5294,243694.3779,35%-45% of MAC,996.3821591,169.4231044,16215.45852,105,64756.69321,21875,470,Piston,21.06851672
120,Cessna 172,96228.50098,317789.197,301825.548,20%-40% of MAC,331.7632704,21.01532235,457358.6522,185,41253.47625,29162,621,Turbofan,37.69284987
121,Boeing 737-800,69768.07467,189067.4686,108462.1096,15%-30% of MAC,472.2759492,131.8393593,32436.13944,405,22042.72928,28270,532,Turboprop,30.20208608
122,Cessna 172,254366.7571,1220956.94,687008.3549,20%-40% of MAC,958.0624169,24.29743081,380695.4667,213,83877.86422,46695,459,Turboprop,87.95695041
123,Boeing 747-8,257645.1645,1073181.98,1071289.153,25%-35% of MAC,505.7165228,108.7276548,408988.8496,111,19134.35535,44068,693,Turbofan,38.06432354
124,Gulfstream G650,7469.20474,35376.35866,31238.8727,20%-40% of MAC,985.8303957,129.7641529,259011.7382,368,24058.04024,39602,693,Turboprop,45.99573975
125,Cessna 172,119619.2806,217594.3251,187574.2573,25%-35% of MAC,931.6538187,113.1107411,128072.3362,271,94149.21756,37918,432,Turboprop,20.60100335
126,Boeing 777,152113.6446,324749.7716,323815.9137,15%-30% of MAC,508.9581169,109.1526465,291074.8847,128,23032.657,22365,454,Turbofan,28.06903877
127,Embraer E190,29482.07208,81563.32274,52627.70057,25%-35% of MAC,489.8742358,156.7652064,422413.2155,176,83877.71069,57324,524,Turboprop,48.57408546
128,Boeing 737-800,84464.65152,396126.7899,291921.0794,35%-45% of MAC,784.3165467,21.81026565,227500.0497,304,7464.785258,25671,588,Turbofan,45.000978
129,Airbus A320,230545.3325,481289.6584,417748.2893,35%-45% of MAC,604.506617,140.5744773,139608.0349,333,86893.53303,48039,697,Piston,18.19389221
130,Boeing 737-800,291263.6558,467464.8513,352618.3961,35%-45% of MAC,277.6679417,97.28430914,431404.4243,108,56774.45414,37192,619,Turboprop,36.64278719
131,Airbus A380,96652.67168,316177.6203,308284.09,20%-40% of MAC,278.5292275,82.28769625,126493.9976,94,95487.66457,55055,439,Turboprop,56.81656045
132,Boeing 747-8,177251.5773,532482.9681,247347.8641,20%-40% of MAC,422.0030452,145.1230844,98893.42097,58,69428.67974,36914,683,Turboprop,95.94728974
133,Beechcraft King Air 350,48312.5857,238076.8549,149323.9215,35%-45% of MAC,673.7487685,80.58529475,169339.3023,110,24572.9846,32250,673,Piston,46.20215253
134,Airbus A380,255804.372,374851.99,297760.2613,20%-35% of MAC,319.6634804,104.666758,438471.0783,374,15822.54298,41760,443,Turbofan,73.06418929
135,Boeing 777,253175.7046,779234.8459,689199.9518,15%-30% of MAC,569.9780783,193.095353,412631.604,216,68558.1762,30303,551,Turboprop,52.50432019
136,Boeing 777,36031.34802,103009.9142,66427.79267,20%-35% of MAC,893.0404098,125.4003048,380705.3502,500,71043.48099,30757,664,Turbofan,29.91508282
137,Bombardier Global 6000,120242.2325,485804.4446,146545.4551,20%-40% of MAC,968.7289115,45.46469617,64851.48308,86,17470.2994,40397,543,Piston,17.90541219
138,Gulfstream G650,212765.1821,422551.7043,297893.8626,15%-30% of MAC,460.0543627,89.89402823,19320.26975,148,70274.54127,31692,695,Turbofan,46.01709609
139,Beechcraft King Air 350,192813.659,394328.4414,377272.9209,20%-35% of MAC,605.9023796,150.5634282,14943.76401,308,90928.86717,52164,473,Piston,98.37127288
140,Boeing 737-800,212055.7942,809745.6978,740275.8288,20%-40% of MAC,272.6497977,111.2513181,135458.0627,493,81554.3007,45715,545,Turboprop,46.77011044
141,Airbus A320,238517.9599,447014.8428,271926.5215,20%-40% of MAC,478.4775902,156.7231732,311558.708,189,82262.91362,40363,486,Piston,37.79430178
142,Airbus A320,100511.1236,189117.9767,114968.8746,20%-40% of MAC,658.4500235,34.74905914,269944.7823,130,29476.8382,20104,593,Turbofan,68.57608967
143,Embraer E190,97298.05922,158327.0439,141181.7303,20%-40% of MAC,994.8059801,138.4280058,148344.8674,85,56805.84353,51335,427,Turboprop,10.04026822
144,Gulfstream G650,252127.5279,901289.5746,889397.4124,20%-35% of MAC,695.9691782,174.7899201,108250.5026,340,44188.3298,22189,489,Turbofan,42.35792098
145,Boeing 747-8,246848.391,1103432.017,293532.8303,35%-45% of MAC,933.0756078,186.5036614,491252.0726,321,64834.30391,58545,522,Turbofan,24.2506729
146,Boeing 777,163121.1103,795455.5466,788698.2137,20%-40% of MAC,483.7966093,29.99894064,173529.7363,384,37242.9232,50425,528,Turbofan,31.49747613
147,Bombardier Global 6000,94397.88369,94648.66067,94646.79155,20%-40% of MAC,228.7733094,46.16500312,492114.325,58,45241.21603,23288,442,Turbofan,66.16394868
148,Beechcraft King Air 350,158072.2041,662499.4242,306845.4143,20%-40% of MAC,673.4223866,105.2735986,125129.3032,315,66564.84586,40097,493,Turbofan,27.94074272
149,Cessna 172,173142.9145,234728.9804,195597.5268,20%-40% of MAC,235.3236945,118.0501663,308177.7365,163,35666.42445,26456,432,Piston,55.04108119
150,Cessna 172,289104.0513,1428105.058,723141.7517,35%-45% of MAC,481.2896603,29.7218475,133689.4945,345,27107.3562,30933,502,Turbofan,52.17658344
151,Beechcraft King Air 350,66982.26946,323318.3532,72688.01032,35%-45% of MAC,624.8888311,86.7239945,312882.8025,425,44001.06874,28095,679,Turbofan,73.26047488
152,Bombardier Global 6000,73824.42321,319462.0878,180584.9449,20%-35% of MAC,765.1913605,29.69083843,248170.7484,383,2342.955404,22505,479,Piston,14.15089137
153,Boeing 777,45869.63024,209336.1044,190885.6597,20%-40% of MAC,310.8706159,158.9171338,315560.6319,215,72694.05577,56986,665,Turboprop,53.28164232
154,Bombardier Global 6000,299363.134,825183.4685,380826.0166,20%-40% of MAC,589.9566518,196.932023,452024.6148,344,66435.76782,48233,509,Piston,32.9056577
155,Cessna 172,70369.4696,309242.0752,79413.63409,25%-35% of MAC,874.9817587,193.4114096,392937.8212,464,89348.24854,38089,566,Turboprop,29.39206607
156,Airbus A380,158766.6295,475072.0219,359817.1501,20%-40% of MAC,233.0158275,103.3853494,125209.1319,462,10526.3097,34569,479,Turboprop,62.86472039
157,Airbus A320,240707.187,567586.1547,250082.173,20%-40% of MAC,878.8368344,70.51925761,342984.4783,386,46970.29367,28678,482,Turbofan,69.41569963
158,Airbus A380,75627.00672,92556.90918,81739.1075,25%-35% of MAC,858.049446,80.4675686,441264.889,454,56176.35843,40737,597,Turboprop,57.25628408
159,Boeing 777,17258.66276,61806.07677,57805.73452,20%-40% of MAC,774.1518367,191.1874708,204361.8015,71,93134.6529,23915,484,Turboprop,49.09765884
160,Gulfstream G650,33062.07401,59768.61583,59338.51226,20%-40% of MAC,967.0034665,75.20019089,14431.68968,135,99679.52393,34251,405,Turboprop,60.80827181
161,Bombardier Global 6000,220535.3942,885068.8266,628114.603,20%-40% of MAC,469.5151348,193.4559292,63787.03458,80,28574.66025,54497,683,Turbofan,29.89673007
162,Cessna 172,53436.09626,231160.4493,168059.7181,15%-30% of MAC,244.8172414,91.85634478,105628.4309,237,79716.32534,35826,539,Piston,53.70525823
163,Gulfstream G650,64925.69451,119311.3263,65267.37266,25%-35% of MAC,424.997112,141.786201,324923.2296,355,71967.35291,55070,530,Turboprop,13.55762845
164,Bombardier Global 6000,27383.5656,41252.85392,28384.43796,20%-40% of MAC,765.9007458,57.06014202,296545.4957,184,10211.62044,50642,699,Turboprop,72.59499378
165,Airbus A320,188730.4457,934504.1419,574931.3843,15%-30% of MAC,689.0848183,166.7274734,102226.8744,172,34766.39251,42021,549,Piston,69.32539985
166,Gulfstream G650,51638.78477,177428.1807,73553.04274,20%-40% of MAC,501.2868025,185.0294463,137886.8221,176,71637.25151,35785,435,Turbofan,21.09001626
167,Gulfstream G650,196398.5421,804665.1336,282287.5611,20%-40% of MAC,880.7427366,135.460724,236751.9395,175,38167.06724,59015,656,Turbofan,68.51777913
168,Boeing 747-8,124318.5529,148209.988,133784.4805,20%-40% of MAC,918.93363,111.9809509,499383.743,297,72382.27211,24746,499,Piston,43.31995014
169,Boeing 737-800,19636.04265,67234.4643,28707.15184,15%-30% of MAC,326.6937777,47.99349054,332859.037,234,39237.53934,38278,556,Piston,29.60622915
